2026-01-22 15:36:50,815 - INFO - Context impl SQLiteImpl.
2026-01-22 15:36:50,816 - INFO - Will assume non-transactional DDL.
2026-01-22 15:36:55,416 - INFO - Context impl SQLiteImpl.
2026-01-22 15:36:55,416 - INFO - Will assume non-transactional DDL.
2026-01-22 15:37:02,906 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-22 15:37:04,633 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-22 15:37:06,787 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-22 15:37:06,902 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-22 15:37:08,161 - INFO - Context impl SQLiteImpl.
2026-01-22 15:37:08,163 - INFO - Will assume non-transactional DDL.
2026-01-22 15:37:08,294 - INFO - Context impl SQLiteImpl.
2026-01-22 15:37:08,295 - INFO - Will assume non-transactional DDL.
2026-01-22 15:37:10,990 - INFO - Context impl SQLiteImpl.
2026-01-22 15:37:10,990 - INFO - Will assume non-transactional DDL.
2026-01-22 15:37:11,037 - INFO - Context impl SQLiteImpl.
2026-01-22 15:37:11,037 - INFO - Will assume non-transactional DDL.
2026-01-22 15:38:22,133 - INFO - Connecting to 149.154.167.51:443/TcpFull...
2026-01-22 15:38:22,241 - INFO - Connection to 149.154.167.51:443/TcpFull complete!
2026-01-22 15:38:39,139 - INFO - Phone migrated to 4
2026-01-22 15:38:39,254 - INFO - Reconnecting to new data center 4
2026-01-22 15:38:39,369 - INFO - Disconnecting from 149.154.167.51:443/TcpFull...
2026-01-22 15:38:39,369 - INFO - Disconnection from 149.154.167.51:443/TcpFull complete!
2026-01-22 15:38:39,370 - INFO - Connecting to 149.154.167.91:443/TcpFull...
2026-01-22 15:38:40,894 - INFO - Connection to 149.154.167.91:443/TcpFull complete!
2026-01-22 15:38:59,096 - INFO - Starting scrape for: lobelia4cosmetics
2026-01-22 15:38:59,361 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:38:59,654 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:38:59,893 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:00,022 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:00,275 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:00,521 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:00,659 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:01,163 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:01,287 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:01,601 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:01,831 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:01,964 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:02,111 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:02,356 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:02,515 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:02,779 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:02,916 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:03,042 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:03,349 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
2026-01-22 15:39:03,593 - INFO - Starting direct file download in chunks of 131072 at 0, stride 131072
